<6> 29.07.2020 15:05:46 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 29.07.2020 15:06:00 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 29.07.2020 15:06:26 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 17.08.2020 15:59:42 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.08.2020 11:16:42 Section=GENERAL, Key=LANGUAGE, Value=1, data=SPGENERAL.LANGUAGE=1
<6> 27.08.2020 11:16:55 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.08.2020 21:53:51 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.08.2020 21:53:52 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 27.08.2020 21:54:01 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.08.2020 21:54:02 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.08.2020 21:54:02 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 27.08.2020 21:54:04 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.08.2020 21:54:04 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.08.2020 21:54:05 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 27.08.2020 21:54:07 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.08.2020 21:54:34 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.08.2020 21:54:35 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 28.08.2020 15:36:39 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 28.08.2020 15:37:05 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 28.08.2020 15:37:19 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 31.08.2020 10:59:02 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 31.08.2020 15:25:54 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 08.09.2020 15:27:11 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.10.2020 09:06:27 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 06.10.2020 09:36:38 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 07.10.2020 09:40:13 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 08.10.2020 08:45:25 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 08.10.2020 13:42:37 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 13.11.2020 09:36:11 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 17.11.2020 19:51:00 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 24.11.2020 15:14:24 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 25.11.2020 08:57:51 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 25.11.2020 08:57:51 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 25.11.2020 09:43:07 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 25.11.2020 09:43:07 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 25.11.2020 09:50:35 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 25.11.2020 09:50:36 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 25.11.2020 11:47:30 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 25.11.2020 11:47:35 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 25.11.2020 11:47:36 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.11.2020 14:14:49 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.11.2020 14:36:23 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 27.11.2020 14:36:24 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.11.2020 14:37:01 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.11.2020 14:53:41 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 27.11.2020 14:53:43 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.11.2020 14:54:05 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.11.2020 14:54:42 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 27.11.2020 14:54:43 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.11.2020 14:54:58 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.11.2020 14:56:10 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 27.11.2020 14:56:12 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.11.2020 14:57:25 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 27.11.2020 15:34:47 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 27.11.2020 15:34:48 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 27.01.2021 13:19:09 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 10.02.2021 13:54:02 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
